5365;9500733054895;Zabawka dmuchana robot 1610G;76.0000;szt.;2.2900;2.8200;PODSTAWOWA;
278;8712581549640;Bateria PHILIPS R06 4 szt/folia;100;szt.;.4800;.5900;PODSTAWOWA;
52746;5900851376741;Strój ŒNIE¯KA ¯Ó£TO-CZERWONA 37674;8.0000;szt.;24.0600;29.5900;PODSTAWOWA;
25295;5906824600011;Zwierzêta du¿e mix 460-001;5.0000;szt.;8.6600;10.6500;PODSTAWOWA;
55402;5909786152871;Torba m³odzie¿owa GDYNIA/PIRACI ME004;17.0000;szt.;27.0000;33.2100;PODSTAWOWA;
62415;4810344008800;Volvo samochód z podnoœnikiem+klocki 30el.8800;6.0000;szt.;39.1100;48.1100;PODSTAWOWA;
10214;9500733055588;Dmuchany robot 0903F;100;szt.;3.6900;4.5400;PODSTAWOWA;
46060;P1;P³ozy œnie¿ne z tworzywa;8.0000;szt.;18.0300;22.1800;PODSTAWOWA;
32272;5906198000011;Pi³karze D 00011;100;szt.;11.7500;14.4500;PODSTAWOWA;
727;8712581605124;Bateria PHILIPS LR6 ALKALICZNA 6szt/blister;100;szt.;.9700;1.1900;PODSTAWOWA;
132634;TORBA-ŒREDNIA;Torby foliowe Mattel 45/50;100;szt.;.5900;.7300;PODSTAWOWA;
74910;BMX-1201;Rower BMX-12 z r¹czk¹ ELG 1201;27.0000;szt.;248.5000;305.6600;PODSTAWOWA;
74911;BMX-1401;Rower BMX-14 z r¹czk¹ ELG 1401;19.0000;szt.;262.9000;323.3700;PODSTAWOWA;
11353;5907511304595;B³yskotki bi¿uteria samoprzylepna 4595;8.0000;szt.;4.0000;4.9200;PODSTAWOWA;
93561;7460748390017;Parasolka sk³adana 83-9001;10.0000;szt.;4.5000;5.5400;PODSTAWOWA;
89570;6607082200201;Motorek na akumulator 6V 0051;13.0000;szt.;179.9900;221.3900;PODSTAWOWA;
133069;5907438272809;Magia od podszewki 36 trików AB 72809;15.0000;szt.;23.2100;28.5500;PODSTAWOWA;
2949;5907707200076;Wyklejanki + barwniki do jajek 00076;13.0000;szt.;1.5200;1.8700;PODSTAWOWA;
15294;5908249082359;Parasolka krata automat 82359;38.0000;szt.;5.2900;6.5100;PODSTAWOWA;
108166;5901238689775;Œwieczki pikery "urodziny" SWPUR-MM;8.0000;szt.;4.3000;5.2900;PODSTAWOWA;
4882;5907479484117;Czapka z daszkiem 48413;14.0000;szt.;2.1500;2.6500;PODSTAWOWA;
10741;4891691182092;Samolot metalowy na blistrze 18209;100;szt.;3.8600;4.7500;PODSTAWOWA;
17418;4891691161066;Autko metalowe ze œwiat³em 16106;100;szt.;5.9900;7.3700;PODSTAWOWA;
22773;5906822460006;Zwierz¹tka ma³e mix 460-00;13.0000;szt.;7.8300;9.6300;PODSTAWOWA;
118303;5901238625582;Kula dekoracyjna ¿ó³ta PF-KDZO30;28.0000;szt.;4.2600;5.2400;PODSTAWOWA;
3619;5904603380581;Torebka 9L;5.0000;szt.;1.8800;2.3100;PODSTAWOWA;
11659;9500733055571;Dmuchany robot 0861A;32.0000;szt.;4.0900;5.0300;PODSTAWOWA;
119966;4052351016373;Cars proca 705-2012;72.0000;szt.;17.9000;22.0200;PODSTAWOWA;
6303;5906551030020;Kuferek mini;18.0000;szt.;2.5200;3.1000;PODSTAWOWA;
43219;4891691282921;Wyrzutnia samochodów/2 autka 28292;100;szt.;16.2500;19.9900;PODSTAWOWA;
17097;5902341067054;Domino edukacyjne 67054;7.0000;szt.;6.9500;8.5500;PODSTAWOWA;
998;5900851520946;Maska kosmiczny wojownik 52094;19.0000;szt.;.8900;1.0900;PODSTAWOWA;
3302;5907609611031;4 pi³ki w siatce JP49101;73.0000;szt.;1.7900;2.2000;PODSTAWOWA;
10742;4891691181361;Autko metalowe blister 18136;100;szt.;3.8600;4.7500;PODSTAWOWA;
116635;5901924574712;Torebka upominkowa KR1377M;11.0000;szt.;4.0400;4.9700;PODSTAWOWA;
127317;5905094775085;Zestaw rybki 5 szt  508a;5.0000;szt.;15.1400;18.6200;PODSTAWOWA;
14309;5906340308545;***Puszka weso³a H08545****;9.0000;szt.;4.0600;4.9900;PODSTAWOWA;
71792;5908254184024;Koñ na biegunach ma³y ³aciaty 84024;5.0000;szt.;133.9000;164.7000;PODSTAWOWA;
19196;5906729632117;Kubek na d³ugopisy Good Luck 10301;8.0000;szt.;6.5500;8.0600;PODSTAWOWA;
94086;5905279877009;EURO CASH gra edukacyjna 77009;14.0000;szt.;99.9000;122.8800;PODSTAWOWA;
25090;5907784429391;Auto metalowe z dŸw.G613BL;5.0000;szt.;8.5800;10.5500;PODSTAWOWA;
35570;KAN;Pi³ka skacz¹ca;99.0000;szt.;12.5500;15.4400;PODSTAWOWA;
26429;5909786152499;Torebka na pasku GDYNIA/PIRACI;15.0000;szt.;9.0000;11.0700;PODSTAWOWA;
86325;8712581605643;Bateria PHILIPS LR3 ALKALICZNA 6szt/blister;100;szt.;.9200;1.1300;PODSTAWOWA;
10443;5904109050193;Tr¹bka kibica ma³a 053;44.0000;szt.;3.7500;4.6100;PODSTAWOWA;
46942;5901828150050;P³ozy aluminiowe;5.0000;szt.;18.8500;23.1900;PODSTAWOWA;
17096;5902341067030;Domino na wiejskim podwórku 67030;9.0000;szt.;6.9500;8.5500;PODSTAWOWA;
80069;5905558802241;P³etwy 36-40 33EFE6100;23.0000;szt.;9.4500;11.6200;PODSTAWOWA;
122968;5902020445296;Kostka Rubika orygina³ 45296;6.0000;szt.;24.0000;29.5200;PODSTAWOWA;
132635;TORBA-DU¯A;Torby foliowe Mattel 60/50;100;szt.;.9400;1.1600;PODSTAWOWA;
52582;5900851376758;Strój KSIÊ¯NICZKA BIA£O-SREBRNA 37675;5.0000;szt.;23.9400;29.4500;PODSTAWOWA;
21130;5906824480026;S³oñ Welurek z gryzakami;6.0000;szt.;7.2000;8.8600;PODSTAWOWA;
3710;808986011252;Zabawki nakrêcane HMT030;45.0000;szt.;1.9000;2.3400;PODSTAWOWA;
17697;5907791566362;Lokomotywa drewniana - nakrêcana 1566362;47.0000;szt.;8.6500;10.6400;PODSTAWOWA;
17095;5902341067023;Domino pojazdy 67023;20.0000;szt.;6.9500;8.5500;PODSTAWOWA;
24882;5906485491089;Statek 91089;12.0000;szt.;7.5000;9.2300;PODSTAWOWA;
133281;5901461610034;Mirage pies Mops zestaw do malowania 61003;5.0000;szt.;17.0900;21.0200;PODSTAWOWA;
33322;5900360150047;MAISTO 1:64 Need for speed 15004;8.0000;szt.;11.7500;14.4500;PODSTAWOWA;
80066;5905558802272;Rurka do p³ywania 1378;100;szt.;2.8500;3.5000;PODSTAWOWA;
